91	Grenada	11	85	0	36	39	98	97	25	64	0	82	57	82
92	Trinidad and Tobago	9	92	96	84	76	81	37	13	67	19	71	90	80
93	Saint Vincent and the Grenadines	7	87	0		74	80	23	13	76	0	72	92	84
94	Netherlands Caribbean Territories	2	90	4	82	96	90	72	56	72	10	78	97	82
95	Panama	7	87	7	30	52	100	100	5	67	31	74	63	81
96	Costa Rica	12	87	97	46	89	56	57	18	68	42	68	84	80
97	Nicaragua	9	74	49	7	13	51	92	1	64	84	65	59	79
98	Colombia	16	85	47	51	66	86	52	0	64	32	67	59	77
99	Honduras	15	77	0	53	48	78	82	2	68	30	63	79	79
100	El Salvador	10	88	25	40	40	83	55	1	62	17	60	70	78
101	Mexico	18	88	63	61	35	47	66	2	63	97	70	81	77
102	Guatemala	16	79	12	87	87	99	100	2	68	92	55	95	75
103	Ecuador	28	85	56	52	63	100	71	1	66	100	73	76	74
104	Peru	0	89	56	37	37	61	32	0	70	17	66	64	75
105	Venezuela	0	88	0	68	40	87	29	0	65	71	60	76	73
106	French Caribbean Territories	12	95	0	98	40	98	72	16	70	15	63	96	80
107	Iceland	21	95	43		41	90	44	16	58	8	81	67	75
108	British Pacific Territories (Pitcairn)	2	90			100	76	73	20	71	0	91	100	80
109	French Polynesia	21	92	97	89	96	100	73	24	79	0	90	98	82
110	Jarvis Island					98				65	100	78	95	76
111	USA Pacific Inhabited Territories	16	95		92	51	81	72	39	69	14	75	96	76
112	Samoa	3	90	0	89	46	1	79	15	75	1	82	96	80
113	Tonga	2	87	0	66	36	100	62	8	76	2	87	86	77
114	USA Pacific Uninhabited Territories					74				65	98	78	91	79
115	New Zealand	17	96	48	80	86	100	43	15	74	46	77	88	81
116	United States	25	97	35	66	79	98	96	1	72	93	74	73	79
117	Belize	6	90	21	43	7	100	100	24	69	57	84	60	82
118	Jamaica	2	83	0	65	25	96	79	16	69	58	64	69	77
119	Guyana	10	81	83	71	71	60	38	3	72	4	78	87	73
120	Suriname	8	88	93	100	100	95	1	5	72	100	77	100	73
121	French Guiana	10	92	0	100	100	68	52	1	78	68	83	100	78
122	Brazil	36	88	29	93	86	53	49	0	67	95	76	92	77
123	Argentina	16	91	36			68	72	1	69	15	71	96	74
124	Uruguay	8	94	0			100	49	7	71	19	63	96	72
125	Finland	28	95	81		84	81	66	5	66	17	80	97	97
126	Denmark	32	97	1	100	96	87	56	38	68	97	82	96	90
127	Germany	26	95	80	100	99	98	82	2	50	100	70	97	80
128	Netherlands	35	96	71	100	100	79	53	4	65	85	67	89	81
129	Poland	10	94	12	66	4	62	61	2	63	11	55	67	82
130	France	72	96	75	79	49	94	67	27	63	29	60	72	77
131	United Kingdom	54	96	58	55	39	72	81	7	67	86	74	82	77
132	Ireland	2	95	71	54	54	81	55	29	62	2	75	78	75
133	Spain	55	95	47	52	52	80	52	34	60	8	76	74	74
134	Portugal	53	94	21			85	80	26	56	32	70	95	72
135	Italy	31	95	63	79	35	60	66	8	68	59	72	93	79
136	Monaco	1	95				95	71	99	43	0	69		85
137	Serbia and Montenegro	4	88	0			75	61	20	78	0	80	99	78
138	Croatia	17	86	49			86	55	24	78	9	82	99	80
139	Slovenia	17	94	98			100	100	7	82	15	76	99	82
140	Lithuania	10	94	62		73	39	97	1	63	56	59	95	83
141	Qatar	4	100	0	90	37	77	27	2	66	5	83	98	85
142	Iran	0	87	4	55	18	100	77	0	62	45	73	74	76
143	Iraq	2	73		80	80	98	12	1	58	0	44	90	74
144	Guinea-Bissau	2	67		23	5	95	9	0	73	99	59	57	69
145	Guinea	17	59	82	33	6	89	74	0	72	75	54	67	68
146	Ivory Coast	14	64	11	21	21	75	96	0	66	28	51	56	72
147	Nigeria	10	70	2	96	25	100	16	0	70	13	40	65	68
148	Cameroon	7	67	80	78	78	68	43	0	72	22	68	84	72
149	Gabon	31	88	0	46	46	49	33	3	72	74	76	55	69
150	Democratic Republic of the Congo	4	55		19	19	100	66	0	53	63	39	53	75
151	Angola	22	79	2	54	17	82	41	0	61	19	71	71	67
152	Tanzania	15	80	58	61	64	100	100	0	69	100	59	73	74
153	India	15	72	70	72	62	49	63	0	63	17	53	89	76
154	Bangladesh	20	73	42	100	100	100	59	0	68	13	62	100	78
155	Myanmar	4	60	100	73	54	78	53	0	59	5	72	87	70
156	Malaysia	2	89	26	64	88	100	82	8	60	9	69	81	76
157	Vietnam	28	73	9	40	81	98	56	1	68	35	64	78	73
158	Singapore	25	96	11	51	26	100	75	14	74	0	67	65	76
159	China	63	89	70	51	46	46	38	0	64	10	56	74	74
160	Japan	56	93	28	96	95	50	100	1	70	84	76	96	79
161	Kiribati	54	81	8	87	91	89	100	1	76	38	79	93	73
162	Antarctica
163	Egypt	37	88	7	85	66	100	70	5	66	65	81	98	81
164	Jordan	4	79		88	63	97	61	3	73	0	90	89	81
165	Indonesia	2	73	84	49	75	79	51	1	66	21	72	74	74
166	Canada	63	96	74	55	98	76	59	15	76	15	89	93	94
167	Saint Pierre and Miquelon	10	88	0		0	95	95	6	62	0	85	78	75
168	Sweden	41	95	14	68	75	100	76	3	83	42	75	92	89
169	Norway	16	97	52		88	92	64	9	73	72	86	94	87
170	Chile	32	94	28			100	81	3	73	65	78	90	79
171	East Timor	0	71		52	29	87	53	0	62	0	66	72	73
172	Bosnia and Herzegovina	8	82	44			73	47	0	70	0	50	71	77
